Year,NOC,Gold,Silver,Bronze
1994,ASM,0,0,0
1994,AUS,0,0,4
1994,AUT,2,3,7
1994,BEL,0,0,0
1994,BGR,0,0,0
1994,BIH,0,0,0
1994,BLR,0,2,0
1994,BMU,0,0,0
1994,BRA,0,0,0
1994,CAN,3,29,5
1994,CHE,4,8,4
1994,CHL,0,0,0
1994,CHN,0,1,2
1994,CYP,0,0,0
1994,CZE,0,0,0
1994,DEU,18,10,12
1994,DNK,0,0,0
1994,ESP,0,0,0
1994,EST,0,0,0
1994,FIN,0,1,29
1994,FJI,0,0,0
1994,FRA,0,1,10
1994,GBR,0,0,3
1994,GEO,0,0,0
1994,GRC,0,0,0
1994,HRV,0,0,0
1994,HUN,0,0,0
1994,ISL,0,0,0
1994,ISR,0,0,0
1994,ITA,14,6,12
1994,JAM,0,0,0
1994,JPN,3,5,2
1994,KAZ,1,2,0
1994,KGZ,0,0,0
1994,KOR,7,1,1
1994,LIE,0,0,0
1994,LTU,0,0,0
1994,LUX,0,0,0
1994,LVA,0,0,0
1994,MCO,0,0,0
1994,MDA,0,0,0
1994,MEX,0,0,0
1994,MNG,0,0,0
1994,NLD,0,1,3
1994,NOR,8,17,5
1994,NZL,0,0,0
1994,POL,0,0,0
1994,PRI,0,0,0
1994,PRT,0,0,0
1994,ROU,0,0,0
1994,RUS,19,13,4
1994,SEN,0,0,0
1994,SMR,0,0,0
1994,SVK,0,0,0
1994,SVN,0,0,3
1994,SWE,23,1,0
1994,TPE,0,0,0
1994,TTO,0,0,0
1994,TUR,0,0,0
1994,UKR,1,0,1
1994,USA,6,8,5
1994,UZB,1,0,0
1994,VIR,0,0,0
1994,ZAF,0,0,0
1996,ABW,0,0,0
1996,AFG,0,0,0
1996,AGO,0,0,0
1996,AHO,0,0,0
1996,ALB,0,0,0
1996,AND,0,0,0
1996,ARE,0,0,0
1996,ARG,0,19,1
1996,ARM,1,1,0
1996,ASM,0,0,0
1996,ATG,0,0,0
1996,AUS,32,16,84
1996,AUT,0,1,2
1996,AZE,0,1,0
1996,BDI,1,0,0
1996,BEL,2,2,2
1996,BEN,0,0,0
1996,BFA,0,0,0
1996,BGD,0,0,0
1996,BGR,3,12,6
1996,BHS,0,5,0
1996,BIH,0,0,0
1996,BLR,1,6,16
1996,BLZ,0,0,0
1996,BMU,0,0,0
1996,BOL,0,0,0
1996,BRA,5,15,43
1996,BRB,0,0,0
1996,BRN,0,0,0
1996,BTN,0,0,0
1996,BWA,0,0,0
1996,CAF,0,0,0
1996,CAN,8,30,12
1996,CHE,5,6,0
1996,CHL,0,0,0
1996,CHN,19,70,17
1996,CIV,0,0,0
1996,CMR,0,0,0
1996,COD,0,0,0
1996,COG,0,0,0
1996,COK,0,0,0
1996,COL,0,0,0
1996,COM,0,0,0
1996,CPV,0,0,0
1996,CRI,1,0,0
1996,CUB,37,8,10
1996,CYM,0,0,0
1996,CYP,0,0,0
1996,CZE,4,5,4
1996,DEU,42,35,47
1996,DJI,0,0,0
1996,DMA,0,0,0
1996,DNK,21,1,1
1996,DOM,0,0,0
1996,DZA,2,0,1
1996,ECU,1,0,0
1996,EGY,0,0,0
1996,ESP,23,21,22
1996,EST,0,0,0
1996,ETH,2,0,1
1996,FIN,1,2,1
1996,FJI,0,0,0
1996,FRA,21,10,20
1996,GAB,0,0,0
1996,GBR,2,15,9
1996,GEO,0,0,2
1996,GHA,0,0,0
1996,GIN,0,0,0
1996,GMB,0,0,0
1996,GNB,0,0,0
1996,GNQ,0,0,0
1996,GRC,4,4,0
1996,GRD,0,0,0
1996,GTM,0,0,0
1996,GUM,0,0,0
1996,GUY,0,0,0
1996,HKG,1,0,0
1996,HND,0,0,0
1996,HRV,16,12,0
1996,HTI,0,0,0
1996,HUN,8,9,26
1996,IDN,2,1,3
1996,IND,0,0,1
1996,IRL,3,0,1
1996,IRN,1,1,1
1996,IRQ,0,0,0
1996,ISL,0,0,0
1996,ISR,0,0,1
1996,ITA,19,24,28
1996,JAM,1,3,12
1996,JOR,0,0,0
1996,JPN,3,26,13
1996,KAZ,3,4,4
1996,KEN,1,4,3
1996,KGZ,0,0,0
1996,KHM,0,0,0
1996,KNA,0,0,0
1996,KOR,10,49,7
1996,KWT,0,0,0
1996,LAO,0,0,0
1996,LBN,0,0,0
1996,LBR,0,0,0
1996,LBY,0,0,0
1996,LCA,0,0,0
1996,LIE,0,0,0
1996,LKA,0,0,0
1996,LSO,0,0,0
1996,LTU,0,0,11
1996,LUX,0,0,0
1996,LVA,0,1,0
1996,MAR,0,0,2
1996,MCO,0,0,0
1996,MDA,0,2,1
1996,MDG,0,0,0
1996,MDV,0,0,0
1996,MEX,0,0,1
1996,MKD,0,0,0
1996,MLI,0,0,0
1996,MLT,0,0,0
1996,MMR,0,0,0
1996,MNG,0,0,1
1996,MOZ,0,0,1
1996,MRT,0,0,0
1996,MUS,0,0,0
1996,MWI,0,0,0
1996,MYS,0,2,1
1996,NAM,0,2,0
1996,NER,0,0,0
1996,NGA,17,4,3
1996,NIC,0,0,0
1996,NLD,38,9,26
1996,NOR,2,3,18
1996,NPL,0,0,0
1996,NRU,0,0,0
1996,NZL,3,2,4
1996,OMN,0,0,0
1996,PAK,0,0,0
1996,PAN,0,0,0
1996,PER,0,0,0
1996,PHL,0,1,0
1996,PLE,0,0,0
1996,PNG,0,0,0
1996,POL,7,8,7
1996,PRI,0,0,1
1996,PRK,2,1,2
1996,PRT,1,0,2
1996,PRY,0,0,0
1996,QAT,0,0,0
1996,ROU,13,10,15
1996,RUS,36,45,34
1996,RWA,0,0,0
1996,SAU,0,0,0
1996,SCG,1,12,13
1996,SDN,0,0,0
1996,SEN,0,0,0
1996,SGP,0,0,0
1996,SLB,0,0,0
1996,SLE,0,0,0
1996,SLV,0,0,0
1996,SMR,0,0,0
1996,SOM,0,0,0
1996,STP,0,0,0
1996,SUR,0,0,0
1996,SVK,1,1,1
1996,SVN,0,2,0
1996,SWE,3,23,5
1996,SWZ,0,0,0
1996,SYC,0,0,0
1996,SYR,1,0,0
1996,TCD,0,0,0
1996,TGO,0,0,0
1996,THA,1,0,1
1996,TJK,0,0,0
1996,TKM,0,0,0
1996,TON,0,1,0
1996,TPE,0,1,0
1996,TTO,0,0,2
1996,TUN,0,0,1
1996,TUR,4,1,1
1996,TZA,0,0,0
1996,UGA,0,0,1
1996,UKR,10,5,19
1996,URY,0,0,0
1996,USA,159,48,52
1996,UZB,0,1,1
1996,VCT,0,0,0
1996,VEN,0,0,0
1996,VGB,0,0,0
1996,VIR,0,0,0
1996,VNM,0,0,0
1996,VUT,0,0,0
1996,WSM,0,0,0
1996,YEM,0,0,0
1996,ZAF,3,1,1
1996,ZMB,0,1,0
1996,ZWE,0,0,0
1998,AND,0,0,0
1998,ARG,0,0,0
1998,ARM,0,0,0
1998,AUS,0,0,1
1998,AUT,3,5,12
1998,AZE,0,0,0
1998,BEL,0,0,1
1998,BGR,1,0,0
1998,BIH,0,0,0
1998,BLR,0,0,2
1998,BMU,0,0,0
1998,BRA,0,0,0
1998,CAN,14,28,7
1998,CHE,6,5,3
1998,CHL,0,0,0
1998,CHN,0,9,5
1998,CYP,0,0,0
1998,CZE,21,1,1
1998,DEU,22,12,10
1998,DNK,0,5,0
1998,ESP,0,0,0
1998,EST,0,0,0
1998,FIN,2,7,49
1998,FRA,2,1,12
1998,GBR,0,0,4
1998,GEO,0,0,0
1998,GRC,0,0,0
1998,HRV,0,0,0
1998,HUN,0,0,0
1998,IND,0,0,0
1998,IRL,0,0,0
1998,IRN,0,0,0
1998,ISL,0,0,0
1998,ISR,0,0,0
1998,ITA,3,9,5
1998,JAM,0,0,0
1998,JPN,8,1,4
1998,KAZ,0,0,2
1998,KEN,0,0,0
1998,KGZ,0,0,0
1998,KOR,6,4,2
1998,LIE,0,0,0
1998,LTU,0,0,0
1998,LUX,0,0,0
1998,LVA,0,0,0
1998,MCO,0,0,0
1998,MDA,0,0,0
1998,MKD,0,0,0
1998,MNG,0,0,0
1998,NLD,5,4,2
1998,NOR,13,15,12
1998,NZL,0,0,0
1998,POL,0,0,0
1998,PRI,0,0,0
1998,PRK,0,0,0
1998,PRT,0,0,0
1998,ROU,0,0,0
1998,RUS,14,32,6
1998,SCG,0,0,0
1998,SVK,0,0,0
1998,SVN,0,0,0
1998,SWE,0,2,5
1998,TPE,0,0,0
1998,TTO,0,0,0
1998,TUR,0,0,0
1998,UKR,0,1,0
1998,URY,0,0,0
1998,USA,25,4,5
1998,UZB,0,0,0
1998,VEN,0,0,0
1998,VIR,0,0,0
1998,ZAF,0,0,0
2000,ABW,0,0,0
2000,AGO,0,0,0
2000,AHO,0,0,0
2000,ALB,0,0,0
2000,AND,0,0,0
2000,ARE,0,0,0
2000,ARG,0,17,3
2000,ARM,0,0,1
2000,ASM,0,0,0
2000,ATG,0,0,0
2000,AUS,60,69,54
2000,AUT,3,1,0
2000,AZE,2,0,1
2000,BDI,0,0,0
2000,BEL,0,3,4
2000,BEN,0,0,0
2000,BFA,0,0,0
2000,BGD,0,0,0
2000,BGR,5,6,2
2000,BHS,6,0,5
2000,BIH,0,0,0
2000,BLR,3,8,11
2000,BLZ,0,0,0
2000,BMU,0,0,0
2000,BOL,0,0,0
2000,BRA,0,12,36
2000,BRB,0,0,1
2000,BRN,0,0,0
2000,BTN,0,0,0
2000,BWA,0,0,0
2000,CAF,0,0,0
2000,CAN,4,4,23
2000,CHE,1,11,2
2000,CHL,0,0,17
2000,CHN,39,23,17
2000,CIV,0,0,0
2000,CMR,18,0,0
2000,COD,0,0,0
2000,COG,0,0,0
2000,COK,0,0,0
2000,COL,1,0,0
2000,COM,0,0,0
2000,CPV,0,0,0
2000,CRI,0,0,2
2000,CUB,18,35,12
2000,CYM,0,0,0
2000,CYP,0,0,0
2000,CZE,2,3,4
2000,DEU,31,23,64
2000,DJI,0,0,0
2000,DMA,0,0,0
2000,DNK,18,3,4
2000,DOM,0,0,0
2000,DZA,1,1,3
2000,ECU,0,0,0
2000,EGY,0,0,0
2000,ERI,0,0,0
2000,ESP,3,19,20
2000,EST,1,0,2
2000,ETH,4,1,3
2000,FIN,3,1,1
2000,FJI,0,0,0
2000,FRA,22,30,14
2000,FSM,0,0,0
2000,GAB,0,0,0
2000,GBR,22,20,12
2000,GEO,0,0,6
2000,GHA,0,0,0
2000,GIN,0,0,0
2000,GMB,0,0,0
2000,GNB,0,0,0
2000,GNQ,0,0,0
2000,GRC,4,6,8
2000,GRD,0,0,0
2000,GTM,0,0,0
2000,GUM,0,0,0
2000,GUY,0,0,0
2000,HKG,0,0,0
2000,HND,0,0,0
2000,HRV,1,0,9
2000,HTI,0,0,0
2000,HUN,25,24,4
2000,IDN,2,4,2
2000,IND,0,0,1
2000,IOA,0,0,0
2000,IRL,0,1,0
2000,IRN,3,0,1
2000,IRQ,0,0,0
2000,ISL,0,0,1
2000,ISR,0,0,1
2000,ITA,22,14,29
2000,JAM,0,20,3
2000,JOR,0,0,0
2000,JPN,5,31,8
2000,KAZ,3,4,0
2000,KEN,2,3,2
2000,KGZ,0,0,1
2000,KHM,0,0,0
2000,KNA,0,0,0
2000,KOR,12,26,35
2000,KWT,0,0,1
2000,LAO,0,0,0
2000,LBN,0,0,0
2000,LBR,0,0,0
2000,LBY,0,0,0
2000,LCA,0,0,0
2000,LIE,0,0,0
2000,LKA,0,1,0
2000,LSO,0,0,0
2000,LTU,2,0,15
2000,LUX,0,0,0
2000,LVA,1,1,1
2000,MAR,0,1,4
2000,MCO,0,0,0
2000,MDA,0,1,1
2000,MDG,0,0,0
2000,MDV,0,0,0
2000,MEX,1,2,3
2000,MKD,0,0,1
2000,MLI,0,0,0
2000,MLT,0,0,0
2000,MMR,0,0,0
2000,MNG,0,0,0
2000,MOZ,1,0,0
2000,MRT,0,0,0
2000,MUS,0,0,0
2000,MWI,0,0,0
2000,MYS,0,0,0
2000,NAM,0,0,0
2000,NER,0,0,0
2000,NGA,6,2,0
2000,NIC,0,0,0
2000,NLD,27,29,23
2000,NOR,20,4,19
2000,NPL,0,0,0
2000,NRU,0,0,0
2000,NZL,1,0,3
2000,OMN,0,0,0
2000,PAK,0,0,0
2000,PAN,0,0,0
2000,PER,0,0,0
2000,PHL,0,0,0
2000,PLE,0,0,0
2000,PLW,0,0,0
2000,PNG,0,0,0
2000,POL,7,10,7
2000,PRI,0,0,0
2000,PRK,0,1,3
2000,PRT,0,0,2
2000,PRY,0,0,0
2000,QAT,0,0,1
2000,ROU,27,6,13
2000,RUS,66,67,54
2000,RWA,0,0,0
2000,SAU,0,1,1
2000,SCG,11,1,13
2000,SDN,0,0,0
2000,SEN,0,0,0
2000,SGP,0,0,0
2000,SLB,0,0,0
2000,SLE,0,0,0
2000,SLV,0,0,0
2000,SMR,0,0,0
2000,SOM,0,0,0
2000,STP,0,0,0
2000,SUR,0,0,0
2000,SVK,2,3,1
2000,SVN,3,0,0
2000,SWE,4,20,8
2000,SWZ,0,0,0
2000,SYC,0,0,0
2000,SYR,0,0,0
2000,TCD,0,0,0
2000,TGO,0,0,0
2000,THA,1,0,2
2000,TJK,0,0,0
2000,TKM,0,0,0
2000,TON,0,0,0
2000,TPE,0,1,4
2000,TTO,0,1,1
2000,TUN,0,0,0
2000,TUR,3,0,2
2000,TZA,0,0,0
2000,UGA,0,0,0
2000,UKR,3,20,12
2000,URY,0,1,0
2000,USA,130,61,51
2000,UZB,1,1,2
2000,VCT,0,0,0
2000,VEN,0,0,0
2000,VGB,0,0,0
2000,VIR,0,0,0
2000,VNM,0,1,0
2000,VUT,0,0,0
2000,WSM,0,0,0
2000,YEM,0,0,0
2000,ZAF,0,2,3
2000,ZMB,0,0,0
2000,ZWE,0,0,0
2002,AND,0,0,0
2002,ARG,0,0,0
2002,ARM,0,0,0
2002,AUS,2,0,0
2002,AUT,3,4,13
2002,AZE,0,0,0
2002,BEL,0,0,0
2002,BGR,0,1,2
2002,BIH,0,0,0
2002,BLR,0,0,1
2002,BMU,0,0,0
2002,BRA,0,0,0
2002,CAN,52,7,15
2002,CHE,3,7,14
2002,CHL,0,0,0
2002,CHN,2,5,9
2002,CMR,0,0,0
2002,CRI,0,0,0
2002,CYP,0,0,0
2002,CZE,1,2,0
2002,DEU,26,23,12
2002,DNK,0,0,0
2002,ESP,0,0,0
2002,EST,1,1,1
2002,FIN,7,5,1
2002,FJI,0,0,0
2002,FRA,5,5,5
2002,GBR,5,0,1
2002,GEO,0,0,0
2002,GRC,0,0,0
2002,HKG,0,0,0
2002,HRV,3,1,0
2002,HUN,0,0,0
2002,IND,0,0,0
2002,IRL,0,0,0
2002,IRN,0,0,0
2002,ISL,0,0,0
2002,ISR,0,0,0
2002,ITA,4,11,6
2002,JAM,0,0,0
2002,JPN,0,1,1
2002,KAZ,0,0,0
2002,KEN,0,0,0
2002,KGZ,0,0,0
2002,KOR,5,2,0
2002,LBN,0,0,0
2002,LIE,0,0,0
2002,LTU,0,0,0
2002,LVA,0,0,0
2002,MCO,0,0,0
2002,MDA,0,0,0
2002,MEX,0,0,0
2002,MKD,0,0,0
2002,MNG,0,0,0
2002,NLD,3,5,0
2002,NOR,23,11,7
2002,NPL,0,0,0
2002,NZL,0,0,0
2002,POL,0,1,1
2002,ROU,0,0,0
2002,RUS,6,5,27
2002,SCG,0,0,0
2002,SMR,0,0,0
2002,SVK,0,0,0
2002,SVN,0,0,4
2002,SWE,0,2,24
2002,THA,0,0,0
2002,TJK,0,0,0
2002,TPE,0,0,0
2002,TTO,0,0,0
2002,TUR,0,0,0
2002,UKR,0,0,0
2002,USA,11,58,15
2002,UZB,0,0,0
2002,VEN,0,0,0
2002,VIR,0,0,0
2002,ZAF,0,0,0
2004,ABW,0,0,0
2004,AFG,0,0,0
2004,AGO,0,0,0
2004,AHO,0,0,0
2004,ALB,0,0,0
2004,AND,0,0,0
2004,ARE,1,0,0
2004,ARG,28,0,21
2004,ARM,0,0,0
2004,ASM,0,0,0
2004,ATG,0,0,0
2004,AUS,49,77,31
2004,AUT,3,4,1
2004,AZE,1,0,4
2004,BDI,0,0,0
2004,BEL,1,0,2
2004,BEN,0,0,0
2004,BFA,0,0,0
2004,BGD,0,0,0
2004,BGR,2,1,14
2004,BHS,1,0,1
2004,BIH,0,0,0
2004,BLR,2,5,8
2004,BLZ,0,0,0
2004,BMU,0,0,0
2004,BOL,0,0,0
2004,BRA,18,19,3
2004,BRB,0,0,0
2004,BRN,0,0,0
2004,BTN,0,0,0
2004,BWA,0,0,0
2004,CAF,0,0,0
2004,CAN,3,10,4
2004,CHE,1,2,4
2004,CHL,3,0,1
2004,CHN,52,27,15
2004,CIV,0,0,0
2004,CMR,1,0,0
2004,COD,0,0,0
2004,COG,0,0,0
2004,COK,0,0,0
2004,COL,0,0,2
2004,COM,0,0,0
2004,CPV,0,0,0
2004,CRI,0,0,0
2004,CUB,32,8,22
2004,CYM,0,0,0
2004,CYP,0,0,0
2004,CZE,1,6,6
2004,DEU,41,45,63
2004,DMA,0,0,0
2004,DNK,19,1,9
2004,DOM,1,0,0
2004,DZA,0,0,0
2004,ECU,0,0,0
2004,EGY,1,1,3
2004,ERI,0,0,1
2004,ESP,4,17,9
2004,EST,0,1,2
2004,ETH,2,3,2
2004,FIN,0,2,0
2004,FJI,0,0,0
2004,FRA,21,10,22
2004,FSM,0,0,0
2004,GAB,0,0,0
2004,GBR,17,25,15
2004,GEO,2,2,0
2004,GHA,0,0,0
2004,GIN,0,0,0
2004,GMB,0,0,0
2004,GNB,0,0,0
2004,GNQ,0,0,0
2004,GRC,8,18,5
2004,GRD,0,0,0
2004,GTM,0,0,0
2004,GUM,0,0,0
2004,GUY,0,0,0
2004,HKG,0,2,0
2004,HND,0,0,0
2004,HRV,15,3,3
2004,HTI,0,0,0
2004,HUN,24,12,4
2004,IDN,1,1,3
2004,IND,0,1,0
2004,IRL,0,0,0
2004,IRN,2,2,2
2004,IRQ,0,0,0
2004,ISL,0,0,0
2004,ISR,1,0,1
2004,ITA,24,41,39
2004,JAM,6,1,6
2004,JOR,0,0,0
2004,JPN,21,20,52
2004,KAZ,1,4,3
2004,KEN,1,4,2
2004,KGZ,0,0,0
2004,KHM,0,0,0
2004,KIR,0,0,0
2004,KNA,0,0,0
2004,KOR,14,28,10
2004,KWT,0,0,0
2004,LAO,0,0,0
2004,LBN,0,0,0
2004,LBR,0,0,0
2004,LBY,0,0,0
2004,LCA,0,0,0
2004,LIE,0,0,0
2004,LKA,0,0,0
2004,LSO,0,0,0
2004,LTU,1,2,0
2004,LUX,0,0,0
2004,LVA,0,4,0
2004,MAR,2,1,0
2004,MCO,0,0,0
2004,MDA,0,0,0
2004,MDG,0,0,0
2004,MDV,0,0,0
2004,MEX,0,3,1
2004,MKD,0,0,0
2004,MLI,0,0,0
2004,MLT,0,0,0
2004,MMR,0,0,0
2004,MNG,0,0,1
2004,MOZ,0,0,0
2004,MRT,0,0,0
2004,MUS,0,0,0
2004,MWI,0,0,0
2004,MYS,0,0,0
2004,NAM,0,0,0
2004,NER,0,0,0
2004,NGA,0,0,8
2004,NIC,0,0,0
2004,NLD,4,51,22
2004,NOR,5,0,2
2004,NPL,0,0,0
2004,NRU,0,0,0
2004,NZL,4,2,0
2004,OMN,0,0,0
2004,PAK,0,0,0
2004,PAN,0,0,0
2004,PER,0,0,0
2004,PHL,0,0,0
2004,PLE,0,0,0
2004,PLW,0,0,0
2004,PNG,0,0,0
2004,POL,4,2,6
2004,PRI,0,0,0
2004,PRK,0,4,1
2004,PRT,0,2,1
2004,PRY,0,17,0
2004,QAT,0,0,0
2004,ROU,23,5,11
2004,RUS,48,46,95
2004,RWA,0,0,0
2004,SAU,0,0,0
2004,SCG,0,13,0
2004,SDN,0,0,0
2004,SEN,0,0,0
2004,SGP,0,0,0
2004,SLB,0,0,0
2004,SLE,0,0,0
2004,SLV,0,0,0
2004,SMR,0,0,0
2004,SOM,0,0,0
2004,STP,0,0,0
2004,SUR,0,0,0
2004,SVK,3,2,5
2004,SVN,0,2,3
2004,SWE,5,5,2
2004,SWZ,0,0,0
2004,SYC,0,0,0
2004,SYR,0,0,1
2004,TCD,0,0,0
2004,TGO,0,0,0
2004,THA,3,1,4
2004,TJK,0,0,0
2004,TKM,0,0,0
2004,TLS,0,0,0
2004,TON,0,0,0
2004,TPE,2,4,3
2004,TTO,0,0,1
2004,TUN,0,0,0
2004,TUR,3,3,5
2004,TZA,0,0,0
2004,UGA,0,0,0
2004,UKR,8,8,31
2004,URY,0,0,0
2004,USA,117,75,71
2004,UZB,2,1,2
2004,VCT,0,0,0
2004,VEN,0,0,2
2004,VGB,0,0,0
2004,VIR,0,0,0
2004,VNM,0,0,0
2004,VUT,0,0,0
2004,WSM,0,0,0
2004,YEM,0,0,0
2004,ZAF,4,3,3
2004,ZMB,0,0,0
2004,ZWE,1,1,1
2006,ALB,0,0,0
2006,AND,0,0,0
2006,ARG,0,0,0
2006,ARM,0,0,0
2006,AUS,1,0,1
2006,AUT,16,7,7
2006,AZE,0,0,0
2006,BEL,0,0,0
2006,BGR,0,1,0
2006,BIH,0,0,0
2006,BLR,0,1,0
2006,BMU,0,0,0
2006,BRA,0,0,0
2006,CAN,30,28,11
2006,CHE,5,7,9
2006,CHL,0,0,0
2006,CHN,2,5,6
2006,CRI,0,0,0
2006,CYP,0,0,0
2006,CZE,1,2,24
2006,DEU,23,25,6
2006,DNK,0,0,0
2006,DZA,0,0,0
2006,ESP,0,0,0
2006,EST,3,0,0
2006,ETH,0,0,0
2006,FIN,0,34,7
2006,FRA,3,2,10
2006,GBR,0,1,0
2006,GEO,0,0,0
2006,GRC,0,0,0
2006,HKG,0,0,0
2006,HRV,1,2,0
2006,HUN,0,0,0
2006,IND,0,0,0
2006,IRL,0,0,0
2006,IRN,0,0,0
2006,ISL,0,0,0
2006,ISR,0,0,0
2006,ITA,11,0,14
2006,JPN,1,0,0
2006,KAZ,0,0,0
2006,KEN,0,0,0
2006,KGZ,0,0,0
2006,KOR,14,3,2
2006,LBN,0,0,0
2006,LIE,0,0,0
2006,LTU,0,0,0
2006,LUX,0,0,0
2006,LVA,0,0,1
2006,MCO,0,0,0
2006,MDA,0,0,0
2006,MDG,0,0,0
2006,MKD,0,0,0
2006,MNG,0,0,0
2006,NLD,3,2,8
2006,NOR,2,9,12
2006,NPL,0,0,0
2006,NZL,0,0,0
2006,POL,0,1,1
2006,PRK,0,0,0
2006,PRT,0,0,0
2006,ROU,0,0,0
2006,RUS,16,12,13
2006,SCG,0,0,0
2006,SEN,0,0,0
2006,SMR,0,0,0
2006,SVK,0,1,0
2006,SVN,0,0,0
2006,SWE,35,21,8
2006,THA,0,0,0
2006,TJK,0,0,0
2006,TPE,0,0,0
2006,TUR,0,0,0
2006,UKR,0,0,3
2006,USA,9,11,32
2006,UZB,0,0,0
2006,VEN,0,0,0
2006,ZAF,0,0,0
2008,ABW,0,0,0
2008,AFG,0,0,1
2008,AGO,0,0,0
2008,AHO,0,0,0
2008,ALB,0,0,0
2008,AND,0,0,0
2008,ARE,0,0,0
2008,ARG,20,0,31
2008,ARM,0,0,6
2008,ASM,0,0,0
2008,ATG,0,0,0
2008,AUS,31,42,76
2008,AUT,0,1,2
2008,AZE,1,2,4
2008,BDI,0,0,0
2008,BEL,1,4,0
2008,BEN,0,0,0
2008,BFA,0,0,0
2008,BGD,0,0,0
2008,BGR,1,1,3
2008,BHS,0,6,1
2008,BIH,0,0,0
2008,BLR,8,5,16
2008,BLZ,0,0,0
2008,BMU,0,0,0
2008,BOL,0,0,0
2008,BRA,14,34,30
2008,BRB,0,0,0
2008,BRN,0,0,0
2008,BTN,0,0,0
2008,BWA,0,0,0
2008,CAF,0,0,0
2008,CAN,11,13,11
2008,CHE,3,1,7
2008,CHL,0,1,0
2008,CHN,74,53,57
2008,CIV,0,0,0
2008,CMR,1,0,0
2008,COD,0,0,0
2008,COG,0,0,0
2008,COK,0,0,0
2008,COL,0,1,1
2008,COM,0,0,0
2008,CPV,0,0,0
2008,CRI,0,0,0
2008,CUB,2,34,11
2008,CYM,0,0,0
2008,CYP,0,0,0
2008,CZE,3,4,0
2008,DEU,42,16,41
2008,DJI,0,0,0
2008,DMA,0,0,0
2008,DNK,6,7,6
2008,DOM,1,1,0
2008,DZA,0,1,1
2008,ECU,0,1,0
2008,EGY,0,0,1
2008,ERI,0,0,0
2008,ESP,7,47,16
2008,EST,1,2,0
2008,ETH,4,1,2
2008,FIN,1,2,2
2008,FJI,0,0,0
2008,FRA,25,24,28
2008,FSM,0,0,0
2008,GAB,0,0,0
2008,GBR,31,25,25
2008,GEO,3,0,3
2008,GHA,0,0,0
2008,GIN,0,0,0
2008,GMB,0,0,0
2008,GNB,0,0,0
2008,GNQ,0,0,0
2008,GRC,0,3,4
2008,GRD,0,0,0
2008,GTM,0,0,0
2008,GUM,0,0,0
2008,GUY,0,0,0
2008,HKG,0,0,0
2008,HND,0,0,0
2008,HRV,0,2,3
2008,HTI,0,0,0
2008,HUN,16,8,3
2008,IDN,2,2,3
2008,IND,1,0,2
2008,IRL,0,1,2
2008,IRN,1,0,1
2008,IRQ,0,0,0
2008,ISL,0,14,0
2008,ISR,0,0,1
2008,ITA,8,14,20
2008,JAM,5,3,6
2008,JOR,0,0,0
2008,JPN,23,15,13
2008,KAZ,2,4,7
2008,KEN,6,4,5
2008,KGZ,0,1,1
2008,KHM,0,0,0
2008,KIR,0,0,0
2008,KNA,0,0,0
2008,KOR,41,11,26
2008,KWT,0,0,0
2008,LAO,0,0,0
2008,LBN,0,0,0
2008,LBR,0,0,0
2008,LBY,0,0,0
2008,LCA,0,0,0
2008,LIE,0,0,0
2008,LKA,0,0,0
2008,LSO,0,0,0
2008,LTU,0,2,3
2008,LUX,0,0,0
2008,LVA,1,1,1
2008,MAR,0,1,1
2008,MCO,0,0,0
2008,MDA,0,0,1
2008,MDG,0,0,0
2008,MDV,0,0,0
2008,MEX,2,0,2
2008,MHL,0,0,0
2008,MKD,0,0,0
2008,MLI,0,0,0
2008,MLT,0,0,0
2008,MMR,0,0,0
2008,MNE,0,0,0
2008,MNG,2,2,0
2008,MOZ,0,0,0
2008,MRT,0,0,0
2008,MUS,0,0,1
2008,MWI,0,0,0
2008,MYS,0,1,0
2008,NAM,0,0,0
2008,NER,0,0,0
2008,NGA,0,16,7
2008,NIC,0,0,0
2008,NLD,39,18,4
2008,NOR,16,5,1
2008,NPL,0,0,0
2008,NRU,0,0,0
2008,NZL,4,2,9
2008,OMN,0,0,0
2008,PAK,0,0,0
2008,PAN,1,0,0
2008,PER,0,0,0
2008,PHL,0,0,0
2008,PLE,0,0,0
2008,PLW,0,0,0
2008,PNG,0,0,0
2008,POL,6,13,1
2008,PRI,0,0,0
2008,PRK,2,1,3
2008,PRT,1,1,0
2008,PRY,0,0,0
2008,QAT,0,0,0
2008,ROU,5,1,16
2008,RUS,43,46,53
2008,RWA,0,0,0
2008,SAU,0,0,0
2008,SDN,0,1,0
2008,SEN,0,0,0
2008,SGP,0,3,0
2008,SLB,0,0,0
2008,SLE,0,0,0
2008,SLV,0,0,0
2008,SMR,0,0,0
2008,SOM,0,0,0
2008,SRB,0,1,14
2008,STP,0,0,0
2008,SUR,0,0,0
2008,SVK,4,5,1
2008,SVN,1,2,2
2008,SWE,0,5,2
2008,SWZ,0,0,0
2008,SYC,0,0,0
2008,SYR,0,0,0
2008,TCD,0,0,0
2008,TGO,0,0,1
2008,THA,2,2,0
2008,TJK,0,1,1
2008,TKM,0,0,0
2008,TLS,0,0,0
2008,TON,0,0,0
2008,TPE,0,0,4
2008,TTO,5,1,0
2008,TUN,1,0,0
2008,TUR,1,3,3
2008,TUV,0,0,0
2008,TZA,0,0,0
2008,UGA,0,0,0
2008,UKR,10,5,16
2008,URY,0,0,0
