Year,NOC,Sport 1,Medals 1,Sport 2,Medals 2,Sport 3,Medals 3,Sport 4,Medals 4,Sport 5,Medals 5
1968,BGR,Football,18,Wrestling,6,Boxing,2,,,,
1968,BRA,Sailing,2,Athletics,1,Boxing,1,,,,
1968,CAN,Ice Hockey,18,Swimming,7,Equestrianism,3,Alpine Skiing,2,,
1968,CHE,Rowing,5,Bobsleigh,4,Alpine Skiing,3,Equestrianism,3,Sailing,3
1968,CUB,Athletics,8,Boxing,2,,,,,,
1968,DNK,Cycling,8,Rowing,5,Sailing,3,Canoeing,1,,
1968,ETH,Athletics,2,,,,,,,,
1968,FIN,Cross Country Skiing,6,Speed Skating,2,Athletics,1,Boxing,1,Gymnastics,1
1968,FRA,Alpine Skiing,8,Cycling,6,Fencing,6,Athletics,5,Equestrianism,4
1968,GBR,Equestrianism,7,Sailing,5,Athletics,4,Boxing,1,Shooting,1
1968,GRC,Wrestling,1,,,,,,,,
1968,HUN,Fencing,19,Football,17,Canoeing,12,Water Polo,11,Athletics,7
1968,IND,Hockey,16,,,,,,,,
1968,IRN,Wrestling,3,Weightlifting,2,,,,,,
1968,ITA,Cycling,11,Rowing,7,Bobsleigh,6,Fencing,6,Sailing,3
1968,JPN,Volleyball,20,Gymnastics,17,Football,16,Wrestling,5,Weightlifting,3
1968,KEN,Athletics,11,Boxing,1,,,,,,
1968,KOR,Boxing,2,,,,,,,,
1968,MEX,Boxing,4,Swimming,2,Athletics,1,Diving,1,Fencing,1
1968,NLD,Speed Skating,9,Cycling,6,Rowing,6,Athletics,1,Swimming,1
1968,NOR,Cross Country Skiing,12,Biathlon,5,Canoeing,4,Speed Skating,4,Sailing,2
1968,NZL,Rowing,5,Athletics,1,Shooting,1,,,,
1968,PAK,Hockey,13,,,,,,,,
1968,POL,Volleyball,12,Fencing,11,Boxing,5,Weightlifting,5,Athletics,2
1968,ROU,Canoeing,7,Fencing,6,Athletics,4,Wrestling,3,Bobsleigh,2
1968,SWE,Cross Country Skiing,10,Cycling,5,Biathlon,4,Sailing,3,Speed Skating,2
1968,TCH,Ice Hockey,18,Volleyball,12,Gymnastics,11,Athletics,2,Ski Jumping,2
1968,TPE,Athletics,1,,,,,,,,
1968,TUN,Athletics,2,,,,,,,,
1968,TUR,Wrestling,2,,,,,,,,
1968,UGA,Boxing,2,,,,,,,,
1968,URS,Gymnastics,28,Fencing,23,Volleyball,23,Swimming,22,Ice Hockey,18
1968,USA,Swimming,83,Athletics,37,Basketball,12,Boxing,7,Diving,6
1968,VEN,Boxing,1,,,,,,,,
1968,YUG,Basketball,12,Water Polo,11,Swimming,2,Wrestling,2,Boxing,1
1968,CMR,Boxing,1,,,,,,,,
1968,JAM,Athletics,1,,,,,,,,
1968,MNG,Wrestling,4,,,,,,,,
1968,FRG,Athletics,11,Rowing,11,Equestrianism,8,Cycling,5,Swimming,5
1968,GDR,Gymnastics,14,Swimming,13,Rowing,11,Athletics,6,Luge,4
1972,ARG,Rowing,1,,,,,,,,
1972,AUS,Swimming,10,Sailing,5,Cycling,3,Athletics,2,,
1972,AUT,Alpine Skiing,4,Athletics,1,Canoeing,1,Figure Skating,1,Shooting,1
1972,BEL,Athletics,2,,,,,,,,
1972,BGR,Wrestling,8,Weightlifting,6,Athletics,4,Boxing,2,Canoeing,2
1972,BRA,Athletics,1,Judo,1,,,,,,
1972,CAN,Swimming,8,Sailing,3,Figure Skating,1,,,,
1972,CHE,Alpine Skiing,6,Bobsleigh,6,Fencing,5,Cross Country Skiing,4,Rowing,2
1972,COL,Boxing,2,Shooting,1,,,,,,
1972,CUB,Basketball,12,Athletics,5,Boxing,5,,,,
1972,DNK,Cycling,1,,,,,,,,
1972,ESP,Alpine Skiing,1,Boxing,1,,,,,,
1972,ETH,Athletics,2,,,,,,,,
1972,FIN,Cross Country Skiing,5,Athletics,4,Biathlon,4,Modern Pentathlon,3,Archery,1
1972,FRA,Fencing,7,Athletics,5,Judo,3,Sailing,3,Alpine Skiing,2
1972,GBR,Athletics,7,Equestrianism,6,Cycling,4,Sailing,4,Boxing,3
1972,GHA,Boxing,1,,,,,,,,
1972,GRC,Sailing,1,Wrestling,1,,,,,,
1972,HUN,Fencing,20,Football,17,Water Polo,11,Gymnastics,6,Canoeing,5
1972,IND,Hockey,14,,,,,,,,
1972,IRN,Wrestling,2,Weightlifting,1,,,,,,
1972,ITA,Equestrianism,6,Fencing,6,Bobsleigh,4,Alpine Skiing,3,Diving,3
1972,JPN,Volleyball,24,Gymnastics,21,Judo,4,Wrestling,4,Ski Jumping,3
1972,KEN,Athletics,9,Boxing,3,,,,,,
1972,KOR,Judo,1,,,,,,,,
1972,LBN,Weightlifting,1,,,,,,,,
1972,MEX,Boxing,1,,,,,,,,
1972,NGA,Boxing,1,,,,,,,,
1972,NLD,Speed Skating,9,Judo,2,Rowing,2,Canoeing,1,Cycling,1
1972,NOR,Cross Country Skiing,12,Canoeing,4,Speed Skating,4,Rowing,2,Biathlon,1
1972,NZL,Rowing,13,Athletics,1,,,,,,
1972,PAK,Hockey,15,,,,,,,,
1972,POL,Football,17,Cycling,6,Fencing,6,Boxing,4,Athletics,3
1972,ROU,Handball,15,Canoeing,9,Fencing,4,Wrestling,4,Rowing,3
1972,SWE,Sailing,6,Equestrianism,4,Diving,2,Speed Skating,2,Swimming,2
1972,TCH,Ice Hockey,18,Handball,16,Rowing,8,Athletics,2,Cross Country Skiing,1
1972,TUN,Athletics,1,,,,,,,,
1972,TUR,Wrestling,1,,,,,,,,
1972,UGA,Athletics,1,Boxing,1,,,,,,
1972,URS,Gymnastics,26,Volleyball,24,Fencing,23,Athletics,20,Ice Hockey,20
1972,USA,Swimming,74,Athletics,28,Ice Hockey,17,Basketball,12,Water Polo,11
1972,YUG,Handball,14,Boxing,2,Wrestling,2,,,,
1972,JAM,Athletics,1,,,,,,,,
1972,MNG,Wrestling,1,,,,,,,,
1972,NER,Boxing,1,,,,,,,,
1972,PRK,Volleyball,11,Boxing,1,Judo,1,Shooting,1,Wrestling,1
1972,FRG,Athletics,20,Hockey,18,Swimming,18,Equestrianism,13,Rowing,9
1972,GDR,Athletics,26,Rowing,26,Swimming,24,Gymnastics,19,Football,17
1976,AUS,Hockey,15,Equestrianism,4,Sailing,3,Swimming,1,,
1976,AUT,Ski Jumping,3,Alpine Skiing,2,Luge,2,Shooting,1,,
1976,BEL,Equestrianism,5,Athletics,3,Cycling,1,,,,
1976,BGR,Basketball,12,Rowing,9,Wrestling,7,Weightlifting,6,Athletics,4
1976,BMU,Boxing,1,,,,,,,,
1976,BRA,Sailing,2,Athletics,1,,,,,,
1976,CAN,Swimming,20,Alpine Skiing,1,Athletics,1,Canoeing,1,Equestrianism,1
1976,CHE,Bobsleigh,6,Fencing,5,Equestrianism,4,Alpine Skiing,3,Judo,1
1976,CUB,Volleyball,12,Boxing,8,Athletics,3,Judo,1,,
1976,DNK,Cycling,5,Sailing,3,,,,,,
1976,ESP,Canoeing,4,Sailing,2,,,,,,
1976,FIN,Cross Country Skiing,11,Biathlon,5,Athletics,4,Rowing,1,Wrestling,1
1976,FRA,Fencing,11,Equestrianism,4,Alpine Skiing,1,Athletics,1,Cycling,1
1976,GBR,Rowing,11,Swimming,6,Cycling,4,Sailing,4,Modern Pentathlon,3
1976,HUN,Handball,14,Canoeing,12,Water Polo,11,Fencing,7,Modern Pentathlon,3
1976,IRN,Weightlifting,1,Wrestling,1,,,,,,
1976,ITA,Fencing,12,Water Polo,11,Alpine Skiing,4,Diving,2,Shooting,2
1976,JPN,Gymnastics,15,Volleyball,12,Wrestling,6,Judo,5,Weightlifting,2
1976,KOR,Volleyball,12,Judo,3,Wrestling,2,,,,
1976,LIE,Alpine Skiing,2,,,,,,,,
1976,MEX,Athletics,1,Boxing,1,,,,,,
1976,NLD,Water Polo,10,Speed Skating,5,Swimming,2,Cycling,1,Figure Skating,1
1976,NOR,Rowing,6,Cross Country Skiing,5,Speed Skating,5,,,,
1976,NZL,Hockey,14,Rowing,9,Athletics,2,,,,
1976,PAK,Hockey,16,,,,,,,,
1976,POL,Football,17,Handball,14,Volleyball,12,Athletics,8,Boxing,5
1976,PRI,Boxing,1,,,,,,,,
1976,PRT,Athletics,1,Shooting,1,,,,,,
1976,ROU,Handball,14,Gymnastics,13,Canoeing,6,Wrestling,6,Boxing,5
1976,SWE,Fencing,5,Sailing,2,Alpine Skiing,1,Athletics,1,Cross Country Skiing,1
1976,TCH,Ice Hockey,19,Rowing,7,Modern Pentathlon,4,Athletics,1,Cycling,1
1976,THA,Boxing,1,,,,,,,,
1976,URS,Rowing,39,Handball,28,Athletics,27,Gymnastics,27,Basketball,24
1976,USA,Swimming,55,Athletics,31,Basketball,24,Rowing,12,Equestrianism,9
1976,VEN,Boxing,1,,,,,,,,
1976,YUG,Basketball,12,Boxing,2,Canoeing,2,Wrestling,2,Judo,1
1976,JAM,Athletics,2,,,,,,,,
1976,MNG,Wrestling,1,,,,,,,,
1976,PRK,Boxing,2,,,,,,,,
1976,TTO,Athletics,1,,,,,,,,
1976,FRG,Ice Hockey,18,Athletics,15,Equestrianism,15,Fencing,12,Rowing,10
1976,GDR,Rowing,54,Athletics,36,Swimming,28,Football,17,Gymnastics,14
1980,AUS,Swimming,11,Athletics,1,Canoeing,1,,,,
1980,AUT,Alpine Skiing,4,Sailing,3,Luge,2,Ski Jumping,2,Equestrianism,1
1980,BEL,Judo,1,,,,,,,,
1980,BGR,Volleyball,22,Rowing,16,Basketball,12,Wrestling,10,Canoeing,9
1980,BRA,Sailing,4,Swimming,4,Athletics,1,,,,
1980,CAN,Alpine Skiing,1,Speed Skating,1,,,,,,
1980,CHE,Bobsleigh,6,Alpine Skiing,3,Cycling,1,Judo,1,,
1980,CUB,Boxing,10,Athletics,4,Judo,3,Weightlifting,2,Shooting,1
1980,DNK,Sailing,5,Cycling,1,Shooting,1,Swimming,1,,
1980,ESP,Hockey,16,Canoeing,4,Sailing,2,Athletics,1,Swimming,1
1980,ETH,Athletics,4,,,,,,,,
1980,FIN,Cross Country Skiing,9,Sailing,3,Archery,2,Athletics,2,Ski Jumping,2
1980,FRA,Fencing,18,Athletics,4,Judo,4,Cycling,2,Alpine Skiing,1
1980,GBR,Athletics,16,Rowing,15,Swimming,13,Judo,2,Boxing,1
1980,GRC,Sailing,3,Wrestling,2,,,,,,
1980,GUY,Boxing,1,,,,,,,,
1980,HUN,Fencing,13,Water Polo,11,Gymnastics,7,Wrestling,7,Canoeing,6
1980,IND,Hockey,16,,,,,,,,
1980,IRL,Sailing,2,Boxing,1,,,,,,
1980,ITA,Basketball,12,Athletics,7,Equestrianism,5,Fencing,5,Luge,3
1980,JPN,Ski Jumping,1,,,,,,,,
1980,LBN,Wrestling,1,,,,,,,,
1980,LIE,Alpine Skiing,4,,,,,,,,
1980,MEX,Equestrianism,9,Diving,1,,,,,,
1980,NLD,Speed Skating,4,Swimming,4,Athletics,1,Judo,1,,
1980,NOR,Cross Country Skiing,8,Speed Skating,7,,,,,,
1980,POL,Athletics,10,Fencing,10,Rowing,7,Wrestling,7,Boxing,5
1980,ROU,Handball,14,Gymnastics,12,Rowing,12,Canoeing,10,Volleyball,10
1980,SWE,Ice Hockey,20,Swimming,10,Modern Pentathlon,3,Alpine Skiing,2,Sailing,2
1980,TCH,Football,16,Hockey,16,Cycling,8,Athletics,2,Rowing,2
1980,UGA,Boxing,1,,,,,,,,
1980,URS,Athletics,56,Rowing,52,Swimming,40,Gymnastics,32,Hockey,32
1980,USA,Ice Hockey,19,Speed Skating,8,Figure Skating,2,Alpine Skiing,1,,
1980,VEN,Boxing,1,,,,,,,,
1980,YUG,Basketball,24,Handball,14,Water Polo,11,Rowing,5,Boxing,1
1980,ZWE,Hockey,15,,,,,,,,
1980,JAM,Athletics,2,Cycling,1,,,,,,
1980,MNG,Judo,2,Wrestling,2,,,,,,
1980,PRK,Weightlifting,2,Wrestling,2,Boxing,1,,,,
1980,TZA,Athletics,2,,,,,,,,
1980,FRG,Biathlon,4,Alpine Skiing,2,Figure Skating,1,Luge,1,,
1980,GDR,Rowing,55,Swimming,42,Athletics,38,Handball,28,Gymnastics,21
1984,AUS,Swimming,20,Rowing,18,Cycling,4,Athletics,3,Canoeing,2
1984,AUT,Judo,2,Alpine Skiing,1,Shooting,1,,,,
1984,BEL,Rowing,3,Cycling,1,Swimming,1,,,,
1984,BRA,Football,16,Volleyball,12,Judo,3,Sailing,3,Athletics,1
1984,CAN,Rowing,23,Swimming,16,Athletics,15,Canoeing,12,Sailing,6
1984,CHE,Equestrianism,5,Alpine Skiing,4,Bobsleigh,4,Cycling,4,Athletics,1
1984,COL,Shooting,1,,,,,,,,
1984,DNK,Rowing,9,Canoeing,2,Equestrianism,1,Shooting,1,,
1984,ESP,Basketball,12,Canoeing,2,Rowing,2,Sailing,2,Athletics,1
1984,FIN,Cross Country Skiing,14,Athletics,4,Ski Jumping,3,Wrestling,3,Nordic Combined,2
1984,FRA,Fencing,23,Football,16,Canoeing,9,Athletics,4,Alpine Skiing,3
1984,GBR,Athletics,22,Hockey,15,Equestrianism,9,Swimming,8,Rowing,5
1984,GRC,Wrestling,2,,,,,,,,
1984,IRL,Athletics,1,,,,,,,,
1984,ISL,Judo,1,,,,,,,,
1984,ITA,Fencing,19,Volleyball,12,Athletics,7,Boxing,5,Modern Pentathlon,5
1984,JPN,Gymnastics,14,Volleyball,12,Wrestling,9,Judo,5,Synchronized Swimming,3
1984,KEN,Athletics,2,Boxing,1,,,,,,
1984,KOR,Handball,13,Basketball,11,Wrestling,7,Judo,5,Boxing,3
1984,LIE,Alpine Skiing,2,,,,,,,,
1984,MAR,Athletics,2,,,,,,,,
1984,MEX,Athletics,3,Boxing,1,Cycling,1,Wrestling,1,,
1984,NGA,Athletics,4,Boxing,1,,,,,,
1984,NLD,Hockey,16,Rowing,11,Swimming,10,Athletics,1,Boxing,1
1984,NOR,Cross Country Skiing,7,Biathlon,6,Rowing,2,Athletics,1,Cycling,1
1984,NZL,Rowing,9,Canoeing,8,Sailing,4,Boxing,1,Equestrianism,1
1984,PAK,Hockey,16,,,,,,,,
1984,PER,Shooting,1,,,,,,,,
1984,PRI,Boxing,2,,,,,,,,
1984,PRT,Athletics,3,,,,,,,,
1984,ROU,Rowing,29,Handball,15,Gymnastics,13,Athletics,10,Fencing,10
1984,SWE,Ice Hockey,20,Canoeing,14,Cross Country Skiing,8,Swimming,7,Wrestling,4
1984,TCH,Ice Hockey,20,Cross Country Skiing,5,Alpine Skiing,1,Figure Skating,1,Ski Jumping,1
1984,THA,Boxing,1,,,,,,,,
1984,TPE,Weightlifting,1,,,,,,,,
1984,TUR,Boxing,2,Wrestling,1,,,,,,
1984,URS,Ice Hockey,20,Figure Skating,9,Speed Skating,9,Cross Country Skiing,8,Biathlon,4
1984,USA,Swimming,63,Athletics,56,Rowing,38,Gymnastics,26,Basketball,24
1984,VEN,Boxing,2,Swimming,1,,,,,,
1984,YUG,Handball,29,Football,17,Water Polo,13,Basketball,12,Canoeing,5
1984,CIV,Athletics,1,,,,,,,,
1984,CMR,Boxing,1,,,,,,,,
1984,DOM,Boxing,1,,,,,,,,
1984,DZA,Boxing,2,,,,,,,,
1984,EGY,Judo,1,,,,,,,,
1984,JAM,Athletics,7,,,,,,,,
1984,ZMB,Boxing,1,,,,,,,,
1984,FRG,Hockey,32,Swimming,21,Fencing,17,Athletics,16,Handball,15
1984,GDR,Bobsleigh,12,Speed Skating,11,Luge,5,Biathlon,2,Ski Jumping,2
1984,SYR,Wrestling,1,,,,,,,,
1984,CHN,Gymnastics,21,Handball,13,Basketball,12,Volleyball,10,Shooting,6
1988,AHO,Sailing,1,,,,,,,,
1988,ARG,Volleyball,12,Tennis,1,,,,,,
1988,AUS,Hockey,16,Cycling,8,Canoeing,3,Swimming,3,Athletics,2
1988,AUT,Alpine Skiing,6,Nordic Combined,4,Speed Skating,2,Judo,1,,
1988,BEL,Judo,1,Shooting,1,,,,,,
1988,BGR,Canoeing,9,Wrestling,8,Rowing,5,Athletics,4,Weightlifting,4
1988,BRA,Football,16,Sailing,4,Athletics,2,Judo,1,,
1988,CAN,Swimming,10,Equestrianism,4,Figure Skating,4,Boxing,3,Synchronized Swimming,3
1988,CHE,Alpine Skiing,11,Equestrianism,5,Bobsleigh,4,Nordic Combined,4,Rowing,2
1988,CHL,Shooting,1,,,,,,,,
1988,COL,Boxing,1,,,,,,,,
1988,DNK,Sailing,5,Cycling,1,Swimming,1,,,,
1988,ESP,Tennis,2,Sailing,1,Shooting,1,Swimming,1,,
1988,FIN,Ice Hockey,22,Cross Country Skiing,6,Ski Jumping,6,Athletics,2,Wrestling,2
1988,FRA,Fencing,7,Equestrianism,6,Athletics,4,Sailing,4,Alpine Skiing,2
1988,GBR,Hockey,16,Athletics,12,Equestrianism,6,Rowing,5,Archery,3
1988,GRC,Wrestling,1,,,,,,,,
1988,HUN,Fencing,15,Canoeing,11,Swimming,6,Modern Pentathlon,4,Shooting,2
1988,IDN,Archery,3,,,,,,,,
1988,IRN,Wrestling,1,,,,,,,,
1988,ITA,Fencing,12,Rowing,7,Biathlon,5,Modern Pentathlon,4,Athletics,3
1988,JPN,Gymnastics,7,Judo,4,Wrestling,4,Synchronized Swimming,3,Shooting,1
1988,KEN,Athletics,7,Boxing,2,,,,,,
1988,KOR,Handball,25,Hockey,16,Archery,10,Wrestling,9,Table Tennis,6
1988,LIE,Alpine Skiing,1,,,,,,,,
1988,MAR,Athletics,2,Boxing,1,,,,,,
1988,MEX,Boxing,1,Diving,1,,,,,,
1988,NLD,Hockey,32,Speed Skating,7,Swimming,5,Canoeing,2,Cycling,2
1988,NOR,Handball,14,Cross Country Skiing,6,Ski Jumping,5,Rowing,4,Sailing,2
1988,NZL,Rowing,8,Canoeing,5,Equestrianism,5,Sailing,4,Swimming,2
1988,PAK,Boxing,1,,,,,,,,
1988,PER,Volleyball,12,,,,,,,,
1988,PHL,Boxing,1,,,,,,,,
1988,POL,Canoeing,5,Boxing,4,Cycling,4,Wrestling,3,Judo,2
1988,PRT,Athletics,1,,,,,,,,
1988,ROU,Rowing,36,Gymnastics,14,Athletics,2,Swimming,2,Boxing,1
1988,SWE,Ice Hockey,22,Cross Country Skiing,5,Cycling,4,Tennis,3,Boxing,2
1988,TCH,Tennis,5,Cross Country Skiing,4,Athletics,2,Shooting,2,Ski Jumping,2
1988,THA,Boxing,1,,,,,,,,
1988,TUR,Weightlifting,1,Wrestling,1,,,,,,
1988,URS,Athletics,36,Gymnastics,29,Handball,29,Basketball,24,Volleyball,24
1988,USA,Swimming,45,Athletics,40,Basketball,24,Rowing,14,Water Polo,13
1988,YUG,Basketball,24,Handball,15,Water Polo,13,Ski Jumping,5,Table Tennis,4
1988,CRI,Swimming,1,,,,,,,,
1988,JAM,Athletics,7,,,,,,,,
1988,MNG,Boxing,1,,,,,,,,
1988,SEN,Athletics,1,,,,,,,,
1988,FRG,Fencing,19,Football,18,Hockey,16,Equestrianism,14,Rowing,14
1988,GDR,Swimming,45,Rowing,38,Athletics,34,Gymnastics,18,Canoeing,17
1988,SUR,Swimming,1,,,,,,,,
1988,VIR,Sailing,1,,,,,,,,
1988,CHN,Rowing,14,Volleyball,11,Table Tennis,7,Diving,6,Weightlifting,5
1988,DJI,Athletics,1,,,,,,,,
1992,ARG,Tennis,2,,,,,,,,
1992,AUS,Hockey,16,Swimming,9,Cycling,8,Canoeing,6,Rowing,6
1992,AUT,Alpine Skiing,8,Ski Jumping,8,Bobsleigh,4,Equestrianism,4,Luge,4
1992,BEL,Cycling,1,Judo,1,Rowing,1,,,,
1992,BGR,Canoeing,4,Weightlifting,4,Shooting,3,Athletics,2,Boxing,2
1992,BHS,Athletics,1,,,,,,,,
1992,BRA,Volleyball,12,Judo,1,Swimming,1,,,,
1992,CAN,Rowing,25,Ice Hockey,22,Short Track Speed Skating,10,Swimming,6,Athletics,3
1992,CHE,Bobsleigh,6,Alpine Skiing,1,Tennis,1,,,,
1992,COL,Athletics,1,,,,,,,,
1992,CUB,Baseball,20,Athletics,13,Volleyball,10,Boxing,9,Fencing,6
1992,DEU,Rowing,42,Hockey,32,Swimming,27,Canoeing,22,Fencing,15
1992,DNK,Cycling,5,Sailing,5,Canoeing,2,Badminton,1,Boxing,1
1992,ESP,Football,17,Hockey,15,Water Polo,12,Sailing,8,Athletics,4
1992,ETH,Athletics,3,,,,,,,,
1992,FIN,Cross Country Skiing,6,Ski Jumping,6,Archery,3,Athletics,1,Biathlon,1
1992,FRA,Handball,16,Fencing,9,Judo,7,Canoeing,6,Cycling,5
1992,GBR,Hockey,16,Athletics,14,Rowing,5,Archery,4,Judo,4
1992,GHA,Football,20,,,,,,,,
1992,GRC,Athletics,1,Weightlifting,1,,,,,,
1992,HUN,Canoeing,13,Fencing,11,Swimming,9,Judo,4,Boxing,3
1992,IDN,Badminton,6,,,,,,,,
1992,IRL,Boxing,2,,,,,,,,
1992,IRN,Wrestling,3,,,,,,,,
1992,ISR,Judo,2,,,,,,,,
1992,ITA,Cross Country Skiing,14,Water Polo,12,Fencing,7,Rowing,7,Cycling,6
1992,JPN,Baseball,20,Judo,10,Gymnastics,8,Short Track Speed Skating,4,Speed Skating,4
1992,KEN,Athletics,8,,,,,,,,
1992,KOR,Handball,13,Table Tennis,8,Badminton,7,Archery,6,Short Track Speed Skating,6
1992,LUX,Alpine Skiing,2,,,,,,,,
1992,MAR,Athletics,2,Boxing,1,,,,,,
